Code,Year,Total1,Total2,Total
110000,2016,89,89,89
120000,2016,147,147,147
130000,2016,748,748,748
140000,2016,449,449,449
150000,2016,590,590,590
210000,2016,457,457,457
220000,2016,201,201,201
230000,2016,269,269,269
310000,2016,188,188,188
320000,2016,724,724,724
330000,2016,372,372,372
340000,2016,362,362,362
350000,2016,213,213,213
360000,2016,213,213,213
370000,2016,833,833,833
410000,2016,513,513,513
420000,2016,311,311,311
430000,2016,294,294,294
440000,2016,518,518,518
450000,2016,211,211,211
460000,2016,40,40,40
500000,2016,154,154,154
510000,2016,310,310,310
520000,2016,249,249,249
530000,2016,180,180,180
610000,2016,265,265,265
620000,2016,152,152,152
630000,2016,56,56,56
640000,2016,137,137,137
650000,2016,370,370,370
110000,2017,85,85,85
120000,2017,141,141,141
130000,2017,726,726,726
140000,2017,488,488,488
150000,2017,639,639,639
210000,2017,479,479,479
220000,2017,204,204,204
230000,2017,269,269,269
310000,2017,190,190,190
320000,2017,736,736,736
330000,2017,382,382,382
340000,2017,371,371,371
350000,2017,230,230,230
360000,2017,224,224,224
370000,2017,806,806,806
410000,2017,494,494,494
420000,2017,325,325,325
430000,2017,310,310,310
440000,2017,542,542,542
450000,2017,221,221,221
460000,2017,42,42,42
500000,2017,158,158,158
510000,2017,309,309,309
520000,2017,255,255,255
530000,2017,195,195,195
610000,2017,262,262,262
620000,2017,151,151,151
630000,2017,53,53,53
640000,2017,175,175,175
650000,2017,404,404,404
110000,2018,29795.70876,29795.70876,29795.70876
120000,2018,41914.56779,41914.56779,41914.56779
130000,2018,206429.1187,206429.1187,206429.1187
140000,2018,87768.4003,87768.4003,87768.4003
150000,2018,107597.4392,107597.4392,107597.4392
210000,2018,126261.885,126261.885,126261.885
220000,2018,35548.32873,35548.32873,35548.32873
230000,2018,34570.35627,34570.35627,34570.35627
310000,2018,63609.83468,63609.83468,63609.83468
320000,2018,161958.1257,161958.1257,161958.1257
330000,2018,82359.22593,82359.22593,82359.22593
340000,2018,68823.2963,68823.2963,68823.2963
350000,2018,62450.92887,62450.92887,62450.92887
360000,2018,51203.44534,51203.44534,51203.44534
370000,2018,171526.8673,171526.8673,171526.8673
410000,2018,99805.67135,99805.67135,99805.67135
420000,2018,88795.5068,88795.5068,88795.5068
430000,2018,74807.01573,74807.01573,74807.01573
440000,2018,152769.617,152769.617,152769.617
450000,2018,53402.0258,53402.0258,53402.0258
460000,2018,10543.6547,10543.6547,10543.6547
500000,2018,35751.4285,35751.4285,35751.4285
510000,2018,87579.45977,87579.45977,87579.45977
520000,2018,49161.27069,49161.27069,49161.27069
530000,2018,60404.08354,60404.08354,60404.08354
610000,2018,53328.31996,53328.31996,53328.31996
620000,2018,33487.84246,33487.84246,33487.84246
630000,2018,17795.98765,17795.98765,17795.98765
640000,2018,32774.8791,32774.8791,32774.8791
650000,2018,32774.8791,32774.8791,32774.8791
110000,2019,30337.46538,30337.46538,30337.46538
120000,2019,44132.40234,44132.40234,44132.40234
130000,2019,207202.8662,207202.8662,207202.8662
140000,2019,93269.26212,93269.26212,93269.26212
150000,2019,117561.122,117561.122,117561.122
210000,2019,135144.0323,135144.0323,135144.0323
220000,2019,36759.37326,36759.37326,36759.37326
230000,2019,46796.98291,46796.98291,46796.98291
310000,2019,66943.64069,66943.64069,66943.64069
320000,2019,173515.8228,173515.8228,173515.8228
330000,2019,84641.79508,84641.79508,84641.79508
340000,2019,36347.32654,36347.32654,36347.32654
350000,2019,66283.52745,66283.52745,66283.52745
360000,2019,52498.09556,52498.09556,52498.09556
370000,2019,181784.5181,181784.5181,181784.5181
410000,2019,97341.13646,97341.13646,97341.13646
420000,2019,91175.56408,91175.56408,91175.56408
430000,2019,75925.13387,75925.13387,75925.13387
440000,2019,151660.0169,151660.0169,151660.0169
450000,2019,55145.79219,55145.79219,55145.79219
460000,2019,11245.72744,11245.72744,11245.72744
500000,2019,36732.99398,36732.99398,36732.99398
510000,2019,91037.68754,91037.68754,91037.68754
520000,2019,50099.98658,50099.98658,50099.98658
530000,2019,63340.64148,63340.64148,63340.64148
610000,2019,56491.85115,56491.85115,56491.85115
620000,2019,33347.47793,33347.47793,33347.47793
630000,2019,17979.11052,17979.11052,17979.11052
640000,2019,36347.32654,36347.32654,36347.32654
650000,2019,75911.1272,75911.1272,75911.1272